shape, expt,date,hive,tab, isRandom, angle00, angle01,angle10, angle11,angle20, angle21,angle0, angle1,angle2, angleSum
7, 094A1,11/07/2020,A,3,1,1.32582,1.08084,5.84656,5.23153,3.48089,3.07917,0.244979,0.615023,0.401711,1.26171
7, 094A1,11/07/2020,A,3,1,0.825377,0.358771,4.65363,4.00376,3.37268,2.95624,0.466606,0.64987,0.416439,1.53292
7, 094A1,11/07/2020,A,3,1,1.3734,0.785398,0.231091,6.06452,5.1248,4.4813,0.588003,0.449759,0.643501,1.68126
7, 094A1,11/07/2020,A,3,1,1.72345,0.0624188,0,0,0,0,1.66103,0,0,1.66103
7, 094A1,11/07/2020,A,3,1,2.14213,1.87368,0.390607,6.22769,4.44144,4.06889,0.268453,0.446105,0.372554,1.08711
7, 094A1,11/07/2020,A,3,1,2.53605,2.22649,0.54042,0.339293,4.8295,4.33188,0.309556,0.201127,0.497615,1.0083
7, 094A1,11/07/2020,A,3,1,2.95624,2.35619,1.5708,1.31019,5.79323,4.4095,0.60005,0.260602,1.38372,2.24438
7, 095A1,11/07/2020,C,1,0,2.97644,2.31274,0.655696,0,5.37836,3.51248,0.6637,0.655696,1.86587,3.18527
7, 095A1,11/07/2020,C,1,0,1.50838,4.39064,0,0,0,0,3.40092,0,0,3.40092
7, 095A1,11/07/2020,C,1,0,1.5708,0,5.45434,4.89774,4.24874,3.554,1.5708,0.556599,0.694739,2.82213
7, 095A1,11/07/2020,C,1,0,1.50838,0.741947,5.28373,3.88701,0,0,0.76643,1.39671,0,2.16314
7, 095A1,11/07/2020,C,1,0,1.5708,0.244979,5.61722,5.17604,3.32694,2.76109,1.32582,0.44118,0.565854,2.33285
7, 095A1,11/07/2020,C,1,0,2.08994,0.999459,0.231091,5.36808,0,0,1.09048,1.14619,0,2.23668
7, 095A1,11/07/2020,C,1,0,2.89661,2.19105,0.302885,5.41465,0,0,0.705568,1.17142,0,1.87699
7, 095A1,11/07/2020,C,1,0,2.76109,1.26791,6.11804,4.42634,0,0,1.49317,1.6917,0,3.18487
7, 095A1,11/07/2020,C,1,0,4.35362,1.05165,0,0,0,0,3.30197,0,0,3.30197
7, 095A1,11/07/2020,C,1,0,5.08328,2.47562,0,0,0,0,2.60766,0,0,2.60766
7, 095A1,11/07/2020,C,1,0,2.57026,1.74547,0.244979,0,4.71239,4.01013,0.824787,0.244979,0.702257,1.77202
7, 095A1,11/07/2020,C,1,0,6.22443,5.81954,5.35589,4.42634,4.17197,3.07917,0.404892,0.929553,1.0928,2.42724
7, 095A1,11/07/2020,C,1,0,1.24905,5.87077,4.77114,3.7296,0,0,1.66146,1.04155,0,2.70301
7, 095A1,11/07/2020,C,1,1,2.9105,2.27305,0.489957,5.81954,4.36937,3.71293,0.637449,0.953605,0.656435,2.24749
7, 095A1,11/07/2020,C,1,1,0.185348,5.92441,5.58093,5.31793,3.96697,3.02448,0.544119,0.262995,0.942486,1.7496
7, 095A1,11/07/2020,C,1,1,0.785398,4.27576,0,0,0,0,2.79282,0,0,2.79282
7, 095A1,11/07/2020,C,1,1,2.35619,1.9513,0.124355,5.84656,4.01765,3.7296,0.404892,0.560982,0.288055,1.25393
7, 095A1,11/07/2020,C,1,1,3.554,3.31626,0.124355,5.62749,5.22478,4.58803,0.237738,0.780051,0.636744,1.65453
7, 095A1,11/07/2020,C,1,1,1.69515,0.785398,5.38713,4.17197,0,0,0.909753,1.21516,0,2.12491
7, 095A1,11/07/2020,C,2,0,3.37268,5.17604,0,0,0,0,4.47983,0,0,4.47983
7, 095A1,11/07/2020,C,2,0,5.58093,2.22649,0,0,0,0,3.35444,0,0,3.35444
7, 095A1,11/07/2020,C,2,0,2.58994,1.21203,6.15883,5.53777,4.4813,4.01765,1.37791,0.621064,0.463648,2.46262
7, 095A1,11/07/2020,C,2,0,2.23677,1.5708,5.84656,4.17197,3.60524,2.9105,0.665969,1.67459,0.694738,3.0353
7, 095A1,11/07/2020,C,2,0,0.117109,3.50036,0,0,0,0,2.89993,0,0,2.89993
7, 095A1,11/07/2020,C,2,0,0.117109,3.2129,0,0,0,0,3.18739,0,0,3.18739
7, 095A1,11/07/2020,C,2,0,5.4502,2.27305,0,0,0,0,3.17715,0,0,3.17715
7, 095A1,11/07/2020,C,2,0,1.76819,0.982794,0.463648,5.72459,5.13061,3.57822,0.785398,1.02225,1.55239,3.36004
7, 095A1,11/07/2020,C,2,0,3.19709,2.44685,1.62629,0.463648,4.77114,4.46741,0.750237,1.16265,0.303734,2.21662
7, 095A1,11/07/2020,C,2,0,4.42634,3.50036,2.9442,0.493941,0,0,0.925974,2.45026,0,3.37623
7, 095A1,11/07/2020,C,2,1,2.17634,1.69515,6.12658,5.71185,4.29998,3.83633,0.48119,0.414736,0.463648,1.35957
7, 095A1,11/07/2020,C,2,1,2.60117,1.63736,1.05165,0.785398,5.22478,4.65981,0.963809,0.266252,0.564973,1.79503
7, 095A1,11/07/2020,C,2,1,2.78282,2.17308,1.26791,0.828849,5.71185,5.20235,0.609738,0.439062,0.509501,1.5583
7, 095A1,11/07/2020,C,2,1,1.97569,1.5708,6.05209,5.46332,5.07116,4.58803,0.404892,0.588777,0.483126,1.47679
7, 095A1,11/07/2020,C,2,1,0.999459,0.436627,5.66294,5.0929,3.44448,2.70497,0.562832,0.57004,0.739512,1.87238
7, 095A1,11/07/2020,C,2,1,2.4859,1.9513,0.785398,0.436627,5.53777,4.95737,0.534594,0.348771,0.580399,1.46376
7, 095A1,11/07/2020,C,3,0,0.41241,5.30039,4.27576,3.38657,0,0,1.3952,0.889191,0,2.28439
7, 095A1,11/07/2020,C,3,0,0.965252,5.07116,4.14105,3.57822,0,0,2.17728,0.562831,0,2.74011
7, 095A1,11/07/2020,C,3,0,1.13417,0.124355,5.1248,3.88701,0,0,1.00981,1.23779,0,2.2476
7, 095A1,11/07/2020,C,3,0,3.63553,2.06474,1.20362,0,0,0,1.5708,1.20362,0,2.77442
7, 095A1,11/07/2020,C,3,0,3.96697,1.32582,0.260602,5.45781,0,0,2.64115,1.08598,0,3.72713
7, 095A1,11/07/2020,C,3,0,4.24874,3.87941,2.7367,2.17634,1.13417,0,0.369334,0.56036,1.13417,2.06386
7, 095A1,11/07/2020,C,3,0,1.5708,0.117109,4.32178,3.01724,0,0,1.45369,1.30454,0,2.75823
7, 095A1,11/07/2020,C,3,0,4.88706,4.22243,2.31622,1.21203,0,0,0.664629,1.10419,0,1.76882
7, 095A1,11/07/2020,C,3,0,5.07116,2.76109,0,0,0,0,2.31007,0,0,2.31007
7, 095A1,11/07/2020,C,3,0,5.58093,2.70918,0,0,0,0,2.87174,0,0,2.87174
7, 095A1,11/07/2020,C,3,0,0.702257,3.33899,0,0,0,0,3.64645,0,0,3.64645
7, 095A1,11/07/2020,C,3,0,0.785398,4.59528,0,0,0,0,2.4733,0,0,2.4733
7, 095A1,11/07/2020,C,3,0,0.915101,4.19324,0,0,0,0,3.00504,0,0,3.00504
7, 095A1,11/07/2020,C,3,1,3.02448,2.35619,1.19029,0.785398,0.110657,5.90268,0.668289,0.404892,0.491164,1.56434
7, 095A1,11/07/2020,C,3,1,0.244979,5.61722,3.92699,3.01724,0,0,0.910948,0.909753,0,1.8207
7, 095A1,11/07/2020,C,3,1,0.124355,6.01224,3.60524,3.02448,2.43934,1.81577,0.395302,0.580756,0.623561,1.59962
7, 095A1,11/07/2020,C,3,1,0.825377,0.185348,3.97044,3.2587,0,0,0.640029,0.71174,0,1.35177
7, 095A1,11/07/2020,C,3,1,2.31274,1.63736,1.03038,0.519146,4.95737,4.17197,0.675379,0.511231,0.785398,1.97201
7, 095A1,11/07/2020,C,3,1,5.90268,5.30039,2.11122,0.588003,0,0,0.602287,1.52321,0,2.1255
7, 095A1,11/07/2020,C,3,1,1.91009,1.21203,6.05209,5.53777,4.09214,3.5221,0.698063,0.514328,0.570041,1.78243
7, 095A1,11/07/2020,C,3,1,2.67795,1.89255,0.512389,0.185348,5.23153,5.01527,0.785398,0.327042,0.216261,1.3287
7, 095A1,11/07/2020,C,3,1,2.08994,1.44644,5.0929,4.5635,4.17197,3.83633,0.643501,0.529397,0.335639,1.50854
7, 096A1,12/07/2020,B,1,0,4.24874,2.67795,2.67795,2.35619,5.79323,5.25281,1.5708,0.321751,0.54042,2.43297
7, 096A1,12/07/2020,B,1,0,2.39965,2.06075,6.16608,5.81954,4.95737,3.44448,0.338892,0.346539,1.51289,2.19832
7, 096A1,12/07/2020,B,1,0,2.43934,1.69515,5.17604,3.01724,0,0,0.744184,2.1588,0,2.90298
7, 096A1,12/07/2020,B,1,0,1.75614,1.13839,4.71239,3.5221,0,0,0.617756,1.19029,0,1.80805
7, 096A1,12/07/2020,B,1,0,1.13417,0.694738,0,5.87829,5.07116,3.92699,0.439431,0.404892,1.14417,1.98849
7, 096A1,12/07/2020,B,1,0,2.23677,5.49779,0,0,0,0,3.02216,0,0,3.02216
7, 096A1,12/07/2020,B,1,0,3.14159,2.65164,1.26791,0.41241,6.05209,5.37836,0.489957,0.855501,0.673736,2.01919
7, 096A1,12/07/2020,B,1,0,0.54042,4.35362,0,0,0,0,2.46999,0,0,2.46999
7, 096A1,12/07/2020,B,1,0,0.741947,3.92699,0,0,0,0,3.09814,0,0,3.09814
7, 096A1,12/07/2020,B,1,0,6.22769,5.53777,4.42634,2.53605,0,0,0.689921,1.89029,0,2.58021
7, 096A1,12/07/2020,B,1,0,0.655696,0.0624188,5.49779,3.554,0,0,0.593277,1.94378,0,2.53706
7, 096A1,12/07/2020,B,1,1,2.22649,1.19029,6.22443,5.0929,0,0,1.0362,1.13153,0,2.16774
7, 096A1,12/07/2020,B,1,1,2.22649,0.0587558,0,0,0,0,2.16774,0,0,2.16774
7, 096A1,12/07/2020,B,1,1,4.89774,4.18067,2.78282,1.49949,0,0,0.717072,1.28333,0,2.00041
7, 096A1,12/07/2020,B,1,1,1.32582,0.785398,5.99713,5.71185,3.00904,2.62245,0.54042,0.285286,0.386595,1.2123
7, 096A1,12/07/2020,B,1,1,5.90268,5.58093,4.35362,2.44685,0,0,0.321751,1.90676,0,2.22851
7, 096A1,12/07/2020,B,1,1,0.0624188,6.22443,4.88706,4.51499,2.62245,2.22649,0.121175,0.372067,0.395955,0.889197
7, 096A1,12/07/2020,B,1,0,0.737815,3.2129,0,0,0,0,3.8081,0,0,3.8081
7, 096A1,12/07/2020,B,1,1,2.70175,2.31917,0.605545,0.302885,0,0,0.382576,0.30266,0,0.685236
7, 096A1,12/07/2020,B,1,1,0.927295,0.380506,3.68201,3.2587,2.35619,1.87368,0.546789,0.423311,0.482513,1.45261
7, 096A1,12/07/2020,B,1,1,2.65164,2.35619,6.15883,5.87077,4.52704,3.5221,0.295441,0.288055,1.00494,1.58844
7, 096A1,12/07/2020,B,1,1,0.665969,0.321751,4.33188,3.42764,2.78282,2.35619,0.344219,0.904238,0.426627,1.67508
7, 096A1,12/07/2020,B,1,1,2.26553,1.87368,0.286051,0,4.64997,4.05669,0.391853,0.286051,0.593277,1.27118
7, 096A1,12/07/2020,B,1,1,0.605545,0.165149,5.86496,5.49779,3.88354,3.20401,0.440396,0.367174,0.679528,1.4871
7, 096A1,12/07/2020,B,1,1,5.76404,5.41465,4.71239,4.05669,3.40219,2.67795,0.349393,0.655695,0.72425,1.72934
7, 096A1,12/07/2020,B,2,0,0.110657,3.79729,0,0,0,0,2.59655,0,0,2.59655
7, 096A1,12/07/2020,B,2,0,0.519146,0.0554985,5.45781,5.103,3.7159,3.00904,0.463648,0.354813,0.706856,1.52532
7, 096A1,12/07/2020,B,2,0,0.231091,3.14159,0,0,0,0,3.37268,0,0,3.37268
7, 096A1,12/07/2020,B,2,0,5.9803,4.42634,2.85554,2.39965,0,0,1.55396,0.455896,0,2.00986
7, 096A1,12/07/2020,B,2,0,5.36808,3.20401,0,0,0,0,2.16407,0,0,2.16407
7, 096A1,12/07/2020,B,2,0,5.07116,1.70335,0,0,0,0,3.36781,0,0,3.36781
7, 096A1,12/07/2020,B,2,0,0.339293,3.92699,3.40219,1.92957,0,0,2.69549,1.47263,0,4.16812
7, 096A1,12/07/2020,B,2,0,3.19709,0.785398,0,0,0,0,2.41169,0,0,2.41169
7, 096A1,12/07/2020,B,2,0,2.39965,2.03444,0.436627,6.22077,4.09214,3.66074,0.365201,0.499046,0.431401,1.29565
7, 096A1,12/07/2020,B,2,0,1.08084,0.380506,4.15379,3.60524,2.22649,1.74547,0.700333,0.548549,0.481023,1.72991
7, 096A1,12/07/2020,B,2,0,3.14159,1.01914,0,0,0,0,2.12245,0,0,2.12245
7, 096A1,12/07/2020,B,2,0,1.05165,5.22478,0,0,0,0,2.11006,0,0,2.11006
7, 096A1,12/07/2020,B,2,0,5.76404,0.785398,0,0,0,0,4.97864,0,0,4.97864
7, 096A1,12/07/2020,B,2,1,2.08319,0.74542,5.92441,5.76404,3.32694,3.14159,1.33777,0.160376,0.185348,1.68349
7, 096A1,12/07/2020,B,2,1,0.965252,6.22443,3.68201,3.01724,0,0,1.02401,0.664774,0,1.68878
7, 096A1,12/07/2020,B,2,1,2.60117,2.31274,0.694738,6.22443,4.83674,4.35362,0.288429,0.753494,0.483126,1.52505
7, 096A1,12/07/2020,B,2,1,2.83871,1.74547,1.26791,1.05841,5.41465,4.89774,1.09324,0.209505,0.516909,1.81965
7, 096A1,12/07/2020,B,2,1,1.32582,1.03038,5.81954,5.30039,3.32694,3.08284,0.295441,0.519146,0.244104,1.05869
7, 096A1,12/07/2020,B,2,1,6.06452,5.37836,4.09214,3.71293,2.8023,2.43934,0.686158,0.37921,0.362964,1.42833
7, 096A1,12/07/2020,B,2,1,1.08084,0.915101,5.20235,4.71239,3.80756,2.89661,0.165738,0.489957,0.910948,1.56664
7, 096A1,12/07/2020,B,2,1,1.33971,0.41241,4.4813,3.96697,3.19709,2.67795,0.927295,0.514329,0.519146,1.96077
7, 096A1,12/07/2020,B,2,1,0.185348,6.06452,5.1248,4.46741,3.81633,3.37268,0.404017,0.657389,0.44365,1.50506
7, 096A1,12/07/2020,B,2,1,2.35619,2.03444,5.81954,5.45781,5.17604,4.71239,0.321751,0.361729,0.463647,1.14713
7, 096A1,12/07/2020,B,2,1,5.33264,4.99844,2.65164,1.05165,0,0,0.334198,1.59999,0,1.93418
7, 096A1,12/07/2020,B,2,1,0.876058,6.22443,5.42102,4.95737,0,0,0.934814,0.463648,0,1.39846
7, 096A1,12/07/2020,B,3,0,6.16608,3.33899,0,0,0,0,2.82709,0,0,2.82709
7, 096A1,12/07/2020,B,3,0,2.67795,2.35619,1.3734,5.81954,4.82305,4.01013,0.321751,1.83705,0.812914,2.97171
7, 096A1,12/07/2020,B,3,0,4.45179,2.43934,1.44644,0.174672,0,0,2.01245,1.27177,0,3.28422
7, 096A1,12/07/2020,B,3,0,5.84656,3.88701,2.47562,1.5708,0,0,1.95955,0.904827,0,2.86437
7, 096A1,12/07/2020,B,3,0,4.17197,1.3597,0,0,0,0,2.81227,0,0,2.81227
7, 096A1,12/07/2020,B,3,0,2.03444,1.81577,6.16608,5.01527,3.92699,3.69325,0.218669,1.1508,0.233743,1.60321
7, 096A1,12/07/2020,B,3,0,1.80189,1.39612,5.72459,3.97044,0,0,0.405763,1.75414,0,2.15991
7, 096A1,12/07/2020,B,3,0,0,3.01724,0,0,0,0,3.26595,0,0,3.26595
7, 096A1,12/07/2020,B,3,0,5.42102,2.79857,0,0,0,0,2.62245,0,0,2.62245
7, 096A1,12/07/2020,B,3,0,0.358771,0.174672,5.30039,5.01527,2.85554,2.14213,0.184098,0.285118,0.713408,1.18262
7, 096A1,12/07/2020,B,3,0,4.24874,3.76184,2.17634,0.588003,0,0,0.486899,1.58834,0,2.07524
7, 096A1,12/07/2020,B,3,0,1.13417,0.321751,6.08579,5.66294,4.17197,3.01724,0.812419,0.422854,1.15473,2.39
7, 096A1,12/07/2020,B,3,1,1.8314,0.632749,6.22769,5.70888,5.42102,4.88706,1.19865,0.518806,0.533954,2.25141
7, 096A1,12/07/2020,B,3,1,0.571337,5.7708,4.07964,2.96692,0,0,1.08373,1.11272,0,2.19645
7, 096A1,12/07/2020,B,3,1,2.39965,1.9513,0.132552,5.69518,4.17197,3.7296,0.448343,0.720554,0.442374,1.61127
7, 096A1,12/07/2020,B,3,1,5.71185,5.14902,4.71239,4.22243,2.76109,1.19029,0.562832,0.489957,1.5708,2.62359
7, 096A1,12/07/2020,B,3,1,0.828849,0,5.46077,4.99844,4.22243,3.83633,0.828849,0.462327,0.386101,1.67728
7, 096A1,12/07/2020,B,3,1,2.43934,1.24905,5.17604,4.59528,0,0,1.19029,0.580756,0,1.77105
7, 096A1,12/07/2020,B,3,1,2.76109,6.00489,0,0,0,0,3.03939,0,0,3.03939
7, 096A1,12/07/2020,B,3,1,1.1659,0.785398,0,5.74277,4.10684,2.92292,0.380506,0.540419,1.18392,2.10485
7, 096A1,12/07/2020,B,3,1,0.260602,6.17831,4.95737,4.4095,3.7296,3.14159,0.365479,0.547863,0.588002,1.50135
7, 096A1,12/07/2020,B,3,1,1.92957,1.32582,5.45781,4.29998,0,0,0.603749,1.15783,0,1.76158
7, 096A1,12/07/2020,B,3,1,1.13839,0.825377,5.71185,4.8295,3.20401,2.97644,0.313012,0.88235,0.227567,1.42293
7, 096A1,12/07/2020,B,3,1,0.741947,6.22769,5.53777,5.01527,4.12439,3.76184,0.797446,0.522492,0.362544,1.68248
7, 096A1,12/07/2020,B,3,1,1.63322,1.13417,6.22769,5.90268,3.63553,3.2129,0.499046,0.325008,0.422634,1.24669
7, 096A1,12/07/2020,B,3,1,0.950547,0.741947,0,0,0,0,0.2086,0,0,0.2086
7, 096A1,12/07/2020,B,3,1,5.49779,4.8295,3.88701,2.72918,0,0,0.668289,1.15783,0,1.82612
7, 104A1,16/07/2020,A,2,0,6.15883,5.58093,4.35362,2.62245,0,0,0.577902,1.73117,0,2.30907
